ID,Age,Economic Status,Profession,Average Pokemon Level,Criminal Record,Win Ratio,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Charity Participation,Team Rocket,Debt
0,27,Middle,Fisherman,50,0,51,0,Unpredictable,25,0,1,0,0
1,55,Middle,PokéMart Seller,35,1,53,0,Unpredictable,19,0,1,1,1
2,14,High,Police Officer,96,0,76,0,Aggressive,18,0,1,0,0
3,41,Middle,Gym Leader Assistant,23,0,27,0,Defensive,10,0,1,0,0
4,15,Middle,Gym Leader Assistant,16,1,51,0,Aggressive,17,1,0,1,1
5,41,High,Daycare Worker,87,0,53,0,Aggressive,18,1,0,1,1
6,21,Low,PokéMart Seller,58,0,52,0,Unpredictable,8,0,1,0,0
7,25,Middle,Gym Leader Assistant,84,0,35,0,Defensive,25,0,1,0,0
8,40,Middle,Gym Leader Assistant,73,0,44,0,Aggressive,6,0,1,0,0
9,20,Middle,PokéMart Seller,9,0,20,0,Defensive,2,0,1,0,0
10,43,Middle,Casino Worker,98,0,55,0,Aggressive,5,0,1,0,0
11,29,Middle,Rocket Grunt,8,0,77,0,Aggressive,14,0,1,0,0
12,11,Middle,Breeder,95,0,34,0,Aggressive,3,0,1,0,0
13,15,Middle,Fisherman,70,0,23,0,Defensive,17,0,1,0,0
14,40,Low,Nurse,23,0,80,0,Defensive,2,0,1,0,0
15,35,Low,Researcher,33,0,60,0,Unpredictable,25,0,1,0,0
16,12,Low,Daycare Worker,81,0,54,0,Defensive,1,0,1,0,0
17,49,High,Police Officer,96,0,37,0,Defensive,1,0,1,0,0
18,70,Low,Elite Trainer,84,0,52,0,Unpredictable,22,0,1,0,0
19,48,Middle,Casino Worker,80,0,52,0,Unpredictable,4,0,1,0,0
20,54,Low,Scientist,35,1,59,0,Unpredictable,12,1,0,1,1
21,69,Middle,Gym Leader Assistant,63,0,34,0,Unpredictable,25,0,1,0,0
22,32,Middle,Scientist,5,0,27,0,Defensive,12,0,1,0,0
23,19,Middle,Daycare Worker,78,0,71,0,Defensive,11,0,1,0,0
24,21,Low,Black Market Dealer,58,0,66,0,Unpredictable,20,0,1,0,0
25,17,Low,Black Market Dealer,40,0,25,0,Unpredictable,3,0,1,0,0
26,14,Low,Rocket Grunt,7,0,63,0,Defensive,2,0,1,0,0
27,17,Low,Rocket Grunt,51,0,52,0,Defensive,9,0,1,0,0
28,10,Middle,Gym Leader Assistant,16,0,28,0,Aggressive,25,0,1,0,0
29,50,Low,Daycare Worker,27,0,36,0,Aggressive,17,0,1,0,0
30,67,Low,Rocket Grunt,16,0,40,1,Unpredictable,24,1,0,1,1
31,26,Low,Daycare Worker,90,0,60,0,Aggressive,17,0,1,0,0
32,38,Low,Breeder,14,0,85,0,Unpredictable,15,0,1,0,0
33,34,Low,Elite Trainer,38,0,61,1,Defensive,22,1,0,1,1
34,34,Middle,Champion,83,0,23,0,Aggressive,13,0,1,0,0
35,50,Low,Nurse,93,0,28,0,Defensive,8,0,1,0,0
36,43,Middle,Elite Trainer,51,0,47,0,Unpredictable,7,0,1,0,0
37,20,Middle,PokéMart Seller,24,0,36,0,Unpredictable,28,1,0,1,1
38,15,Low,Champion,72,0,84,0,Unpredictable,6,0,1,0,0
39,55,Middle,Biker,92,0,77,0,Unpredictable,12,0,1,0,0
40,38,Low,Police Officer,45,0,57,0,Defensive,13,0,1,0,0
41,31,Low,Nurse,18,1,31,0,Unpredictable,27,1,1,1,1
42,40,Low,Breeder,33,0,74,0,Aggressive,17,0,1,0,0
43,56,Middle,Underground Battler,96,0,41,0,Aggressive,22,0,1,0,0
44,29,High,Fisherman,99,1,46,0,Defensive,13,1,0,1,1
45,56,Middle,Breeder,90,0,49,0,Defensive,18,0,1,0,0
46,42,Low,Fisherman,58,0,25,0,Aggressive,21,0,1,0,0
47,47,Middle,Fisherman,96,0,32,0,Aggressive,14,0,1,0,0
48,32,Low,Black Market Dealer,30,0,47,0,Aggressive,14,0,1,0,0
49,15,Low,Breeder,53,0,40,0,Defensive,15,0,1,0,0
50,20,Middle,PokéMart Seller,16,0,75,0,Unpredictable,10,0,0,1,1
51,26,Low,Casino Worker,98,0,51,0,Unpredictable,25,0,1,0,0
52,29,Middle,Biker,19,0,51,0,Aggressive,5,0,1,0,0
53,44,Low,Black Market Dealer,84,0,62,0,Aggressive,6,0,1,0,0
54,51,Middle,Rocket Grunt,34,0,36,0,Defensive,18,0,1,0,0
55,44,High,Nurse,78,0,74,0,Unpredictable,6,0,1,0,0
56,55,High,Fisherman,59,0,66,0,Unpredictable,19,0,1,0,0
57,57,Middle,Scientist,77,0,22,0,Defensive,17,0,1,0,0
58,50,Middle,Nurse,78,0,74,0,Unpredictable,11,0,1,0,0
59,18,Low,Rocket Grunt,55,0,38,0,Unpredictable,25,0,1,0,0
60,69,Low,Police Officer,26,0,75,0,Unpredictable,22,0,1,0,0
61,40,Low,Scientist,57,0,37,0,Aggressive,11,0,1,0,0
62,44,Low,Champion,66,0,57,0,Aggressive,17,0,1,0,0
63,44,Low,Gym Leader Assistant,100,0,77,0,Unpredictable,11,0,1,0,0
